Gloss: book, Videos: 40
Gloss: drink, Videos: 35
Gloss: computer, Videos: 30
Gloss: before, Videos: 26
Gloss: chair, Videos: 26
Gloss: go, Videos: 26
Gloss: clothes, Videos: 25
Gloss: who, Videos: 25
Gloss: candy, Videos: 24
Gloss: cousin, Videos: 23
Gloss: deaf, Videos: 23
Gloss: fine, Videos: 22
Gloss: help, Videos: 22
Gloss: no, Videos: 22
Gloss: thin, Videos: 22
Gloss: walk, Videos: 22
Gloss: year, Videos: 22
Gloss: yes, Videos: 22
Gloss: all, Videos: 21
Gloss: black, Videos: 21
Gloss: cool, Videos: 21
Gloss: finish, Videos: 21
Gloss: hot, Videos: 21
Gloss: like, Videos: 21
Gloss: many, Videos: 21
Gloss: mother, Videos: 21
Gloss: now, Videos: 21
Gloss: orange, Videos: 21
Gloss: table, Videos: 21
Gloss: thanksgiving, Videos: 21
Gloss: what, Videos: 21
Gloss: woman, Videos: 21
Gloss: bed, Videos: 20
Gloss: blue, Videos: 20
Gloss: bowling, Videos: 20
Gloss: can, Videos: 20
Gloss: dog, Videos: 20
Gloss: family, Videos: 20
Gloss: fish, Videos: 20
Gloss: graduate, Videos: 20
Gloss: hat, Videos: 20
Gloss: hearing, Videos: 20
Gloss: kiss, Videos: 20
Gloss: language, Videos: 20
Gloss: later, Videos: 20
Gloss: man, Videos: 20
Gloss: shirt, Videos: 20
Gloss: study, Videos: 20
Gloss: tall, Videos: 20
Gloss: white, Videos: 20
Gloss: wrong, Videos: 20
Gloss: accident, Videos: 19
Gloss: apple, Videos: 19
Gloss: bird, Videos: 19
Gloss: change, Videos: 19
Gloss: color, Videos: 19
Gloss: corn, Videos: 19
Gloss: cow, Videos: 19
Gloss: dance, Videos: 19
Gloss: dark, Videos: 19
Gloss: doctor, Videos: 19
Gloss: eat, Videos: 19
Gloss: enjoy, Videos: 19
Gloss: forget, Videos: 19
Gloss: give, Videos: 19
Gloss: last, Videos: 19
Gloss: meet, Videos: 19
Gloss: pink, Videos: 19
Gloss: pizza, Videos: 19
Gloss: play, Videos: 19
Gloss: school, Videos: 19
Gloss: secretary, Videos: 19
Gloss: short, Videos: 19
Gloss: time, Videos: 19
Gloss: want, Videos: 19
Gloss: work, Videos: 19
Gloss: africa, Videos: 18
Gloss: basketball, Videos: 18
Gloss: birthday, Videos: 18
Gloss: brown, Videos: 18
Gloss: but, Videos: 18
Gloss: cheat, Videos: 18
Gloss: city, Videos: 18
Gloss: cook, Videos: 18
Gloss: decide, Videos: 18
Gloss: full, Videos: 18
Gloss: how, Videos: 18
Gloss: jacket, Videos: 18
Gloss: letter, Videos: 18
Gloss: medicine, Videos: 18
Gloss: need, Videos: 18
Gloss: paint, Videos: 18
Gloss: paper, Videos: 18
Gloss: pull, Videos: 18
Gloss: purple, Videos: 18
Gloss: right, Videos: 18
Gloss: same, Videos: 18
Gloss: son, Videos: 18
Gloss: tell, Videos: 18
Gloss: thursday, Videos: 18
